LOC_LEG,SITE_XN_ROUTE,GPS_LAT,GPS_LONG,SURFACE_TYPE,TFM_DESC,BEARING_DESC,REGION,STATUS,PURPOSE
63934,34315,-37.779058,145.036991,BIKE PATH,DAREBIN CREEK TRAIL N BD 101 m SE FROM HEIDELBERG ROAD,NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
63935,34315,-37.779058,145.036991,BIKE PATH,DAREBIN CREEK TRAIL S BD 101 m SE FROM HEIDELBERG ROAD,SOUTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
64397,34556,-37.860455,144.735958,BIKE PATH,FEDERATION TRAIL NE BD AT WILLIAMS LANDING 496M E OF FORSYTH ROAD,NORTH EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
64398,34556,-37.860455,144.735958,BIKE PATH,FEDERATION TRAIL SW BD AT WILLIAMS LANDING 496M E OF FORSYTH ROAD,SOUTH WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,Recreational
64620,34675,-37.859297,145.101806,BIKE PATH,GARDINERS CREEK TRAIL,,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,
64621,34675,-37.859297,145.101806,BIKE PATH,GARDINERS CREEK TRAIL,,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,
64622,34676,-37.904937,145.128356,BIKE PATH,GARDINER RD CYCLE PATH N OF NORMANBY RD NOTTING HILL,,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,
64623,34676,-37.904937,145.128356,BIKE PATH,GARDINER RD CYCLE PATH N OF NORMANBY RD NOTTING HILL,,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,
64624,34677,-37.8017268,144.9174307,BIKE PATH,DYNON RD CYCLE PATH E OF DOCK LINK RD,,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,
64625,34677,-37.8017268,144.9174307,BIKE PATH,DYNON RD CYCLE PATH E OF DOCK LINK RD,,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,
64626,34678,-38.146713,144.354888,BIKE LANE,MALOP ST CYCLEWAY E OF RAIL BRIDGE,,SOUTHERN,COMBINED BIDIRECTIONAL SITE,
64627,34678,-38.146713,144.354888,BIKE LANE,MALOP ST CYCLEWAY E OF RAIL BRIDGE,,SOUTHERN,COMBINED BIDIRECTIONAL SITE,
64640,34685,-37.77003,144.959458,BIKE PATH,UPFIELD SHARED PATH N OF PHOENIX ST,,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,
64641,34685,-37.77003,144.959458,BIKE PATH,UPFIELD SHARED PATH N OF PHOENIX ST,,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,
64642,34686,-38.197023,146.50541,BIKE PATH,MORWELL TRARALGON TRAIL WEST OF COOPERS RD,,EASTERN,COMBINED BIDIRECTIONAL SITE,
64643,34686,-38.197023,146.50541,BIKE PATH,MORWELL TRARALGON TRAIL WEST OF COOPERS RD,,EASTERN,COMBINED BIDIRECTIONAL SITE,
64644,34687,-38.157759,144.35596,BIKE LANE,MOORABOOL CYCLE PATH N OF PARK CRES IN FRONT OF KARDINIA SCC,,SOUTHERN,COMBINED BIDIRECTIONAL SITE,
64645,34687,-38.157759,144.35596,BIKE LANE,MOORABOOL CYCLE PATH N OF PARK CRES IN FRONT OF KARDINIA SCC,,SOUTHERN,COMBINED BIDIRECTIONAL SITE,
70006,40003,-37.786119,144.999312,BIKE LANE,FENWICK ST N BD S OF HEIDELBERG RD,NORTH BOUND,METRO NORTH WEST,POP-UP SITE,
70007,40003,-37.786955,144.999811,BIKE LANE,FENWICK ST S BD S OF HEIDELBERG RD,SOUTH BOUND,METRO NORTH WEST,POP-UP SITE,
70008,40004,-37.783766,145.007167,BIKE LANE,HEIDELBERG RD E BD W OF YARRA BEND RD,EAST BOUND,METRO NORTH WEST,POP-UP SITE,
70009,40004,-37.783978,145.007654,BIKE LANE,HEIDELBERG RD W BD W OF YARRA BEND RD,WEST BOUND,METRO NORTH WEST,POP-UP SITE,
70010,40005,-37.783436,145.01658,BIKE LANE,HEIDELBERG RD E BD W OF STATION ST,EAST BOUND,METRO NORTH WEST,POP-UP SITE,
70011,40005,-37.783563,145.01685,BIKE LANE,HEIDELBERG RD W BD W OF STATION ST,WEST BOUND,METRO NORTH WEST,POP-UP SITE,
70727,40430,-37.807727,144.976897,BIKE LANE,BRUNSWICK ST N OF VICTORIA PDE,NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,
70728,40430,-37.807727,144.976897,BIKE LANE,BRUNSWICK ST S OF VICTORIA PDE,SOUTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE,
72207,41781,-37.917835,145.12778,BIKE PATH,BROWNS RD S OF ATLANTIC ST,,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,
72208,41781,-37.917835,145.12778,BIKE PATH,BROWNS RD S OF ATLANTIC ST,,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,
72209,41782,-37.854416,145.082086,BIKE PATH,PROSPER PDE S OF MONTANA ST,,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,
72210,41782,-37.854416,145.082086,BIKE PATH,PROSPER PDE S OF MONTANA ST,,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE,
